-- Total Memory Allocated --
Total: 19212
-- allocMBList (2397) --
address=0x2337272, size=7, name=Tadeo
address=0x233614c, size=8, name=Tadeas
address=0x2337268, size=10, name=Taddeusz
address=0x2336144, size=8, name=Taddeo
address=0x235a862, size=6, name=Tadd
address=0x233799c, size=5, name=Tad
address=0x233613d, size=7, name=Tabor
address=0x235b2f5, size=7, name=Taber
address=0x235b2ee, size=7, name=Tabby
address=0x235b2e6, size=8, name=Tabbie
address=0x2337b27, size=6, name=Tabb
address=0x23379e1, size=5, name=Tab
address=0x2336394, size=7, name=Symon
address=0x2336880, size=7, name=Syman
address=0x2336389, size=11, name=Sylvester
address=0x2336878, size=8, name=Sylvan
address=0x2336871, size=7, name=Sylas
address=0x2336ad6, size=8, name=Sydney
address=0x2336cff, size=5, name=Syd
address=0x23375bf, size=6, name=Swen
address=0x233629a, size=7, name=Svend
address=0x2338528, size=6, name=Sven
address=0x23373f3, size=8, name=Sutton
address=0x23373e7, size=12, name=Sutherland
address=0x2336acb, size=11, name=Sutherlan
address=0x235a5a7, size=7, name=Sunny
address=0x233607c, size=8, name=Sumner
address=0x2337da7, size=7, name=Sully
address=0x2336072, size=10, name=Sullivan
address=0x235ab18, size=8, name=Stuart
address=0x235aa92, size=5, name=Stu
address=0x235ab0e, size=10, name=Stirling
address=0x235ad1d, size=8, name=Stinky
address=0x235ad12, size=11, name=Stillmann
address=0x23377cd, size=10, name=Stillman
address=0x23377c4, size=9, name=Stewart
address=0x23369ca, size=9, name=Steward
address=0x235a66a, size=7, name=Stevy
address=0x23369c2, size=8, name=Stevie
address=0x235a985, size=8, name=Steven
address=0x2337757, size=7, name=Steve
address=0x2336ba0, size=8, name=Sterne
address=0x2336b36, size=7, name=Stern
address=0x235a97b, size=10, name=Sterling
address=0x2337fba, size=9, name=Stephen
address=0x2336b95, size=11, name=Stephanus
address=0x2337fb1, size=9, name=Stephan
address=0x2337f70, size=9, name=Steffen
address=0x2337f67, size=9, name=Stefano
address=0x2337c16, size=8, name=Stefan
address=0x2337c0d, size=9, name=Stearne
address=0x235a6aa, size=8, name=Stearn
address=0x235a6a1, size=9, name=Stavros
address=0x23362bf, size=8, name=Stavro
address=0x23362b5, size=10, name=Stanwood
address=0x23380ec, size=9, name=Stanton
address=0x2336be1, size=8, name=Stanly
address=0x23380e3, size=9, name=Stanley
address=0x2336b2b, size=11, name=Stanleigh
address=0x233774c, size=11, name=Stanislaw
address=0x233851c, size=12, name=Stanislaus
address=0x235a65f, size=11, name=Stanislas
address=0x2337d9d, size=10, name=Stanford
address=0x23375b4, size=11, name=Stanfield
address=0x2337b1c, size=11, name=Standford
address=0x233691b, size=6, name=Stan
address=0x2336bd8, size=9, name=Staford
address=0x235a59d, size=10, name=Stafford
address=0x2336290, size=10, name=Staffard
address=0x233707e, size=7, name=Stacy
address=0x2337076, size=8, name=Stacee
