-- Total Memory Allocated --
Total: 19854
-- allocMBList (2397) --
address=0xa13014, size=11, name=Sherlocke
address=0xa1300a, size=10, name=Sherlock
address=0xa13000, size=10, name=Sheridan
address=0x9f16eb, size=10, name=Shepperd
address=0x9f16e1, size=10, name=Sheppard
address=0x9f16d7, size=10, name=Shepherd
address=0x9ce3b1, size=9, name=Shepard
address=0x9ccd71, size=6, name=Shep
address=0x9f0008, size=6, name=Shem
address=0x9cdb39, size=9, name=Shelton
address=0x9cc625, size=9, name=Shelley
address=0x9cc254, size=7, name=Shell
address=0x9cd80a, size=9, name=Shelden
address=0x9f00ae, size=8, name=Shelby
address=0x9cdbb9, size=8, name=Sheffy
address=0x9f16cc, size=11, name=Sheffield
address=0x9cd7a4, size=9, name=Sheffie
address=0x9ce7cc, size=7, name=Sheff
address=0x9ce3f8, size=6, name=Shea
address=0x9f0f92, size=8, name=Shayne
address=0x9cc714, size=6, name=Shay
address=0x9f07f8, size=7, name=Shawn
address=0x9ce4aa, size=6, name=Shaw
address=0x9f002c, size=7, name=Shaun
address=0x9ce563, size=9, name=Shaughn
address=0x9cde46, size=9, name=Shannon
address=0x9cdbeb, size=9, name=Shannan
address=0x9cd2df, size=7, name=Shane
address=0x9f0786, size=8, name=Shanan
address=0x9cdc0a, size=8, name=Shamus
address=0x9f09f0, size=8, name=Shalom
address=0x9f0798, size=8, name=Shaine
address=0x9cd252, size=6, name=Shae
address=0x9cd156, size=8, name=Shadow
address=0x9f0593, size=9, name=Seymour
address=0x9ce114, size=8, name=Seward
address=0x9f0815, size=8, name=Seumas
address=0x9ce399, size=6, name=Seth
address=0x9f089b, size=8, name=Sergio
address=0x9f08b5, size=9, name=Sergent
address=0x9f1622, size=8, name=Sergei
address=0x9f16c2, size=10, name=Sergeant
address=0x9cd21c, size=7, name=Serge
address=0x9f0a21, size=7, name=Selig
address=0x9f12d8, size=7, name=Selby
address=0x9cc5d8, size=5, name=See
address=0x9f16b7, size=11, name=Sebastien
address=0x9f16ab, size=12, name=Sebastiano
address=0x9f16a0, size=11, name=Sebastian
address=0x9ce342, size=6, name=Sean
address=0x9f1057, size=8, name=Seamus
address=0x9cd49d, size=8, name=Scotty
address=0x9cd875, size=9, name=Scottie
address=0x9cc200, size=8, name=Scotti
address=0x9ce90b, size=7, name=Scott
address=0x9cc166, size=6, name=Scot
address=0x9f1696, size=10, name=Schuyler
address=0x9f168c, size=10, name=Scarface
address=0x9ce851, size=8, name=Sayres
address=0x9cdcca, size=7, name=Sayre
address=0x9ce253, size=8, name=Sayers
address=0x9f0741, size=7, name=Sayer
address=0x9f091a, size=5, name=Say
address=0x9f13c0, size=7, name=Saxon
address=0x9cd34b, size=6, name=Saxe
address=0x9ce084, size=5, name=Sax
address=0x9ccf60, size=9, name=Sawyere
address=0x9cc858, size=8, name=Sawyer
address=0x9f0660, size=5, name=Saw
address=0x9f023d, size=9, name=Sauveur
