-- Total Memory Allocated --
Total: 24378
-- allocMBList (2945) --
address=0x1b4828a, size=8, name=Tawnya
address=0x1b48283, size=7, name=Tatum
address=0x1b48279, size=10, name=Tatiania
address=0x1b48270, size=9, name=Tatiana
address=0x1b47dc8, size=6, name=Tate
address=0x1b48269, size=7, name=Tasia
address=0x1b48262, size=7, name=Tasha
address=0x1b4825b, size=7, name=Taryn
address=0x1b48253, size=8, name=Tarrah
address=0x1b4824c, size=7, name=Tarra
address=0x1b48245, size=7, name=Tarah
address=0x1b02237, size=6, name=Tara
address=0x1b4823e, size=7, name=Tanya
address=0x1b48237, size=7, name=Tansy
address=0x1b4822c, size=11, name=Tanitansy
address=0x1b48225, size=7, name=Tania
address=0x1b00f32, size=6, name=Tani
address=0x1b4821d, size=8, name=Tanhya
address=0x1b48216, size=7, name=Tandy
address=0x1b4820e, size=8, name=Tandie
address=0x1b48207, size=7, name=Tandi
address=0x1b2487f, size=6, name=Tana
address=0x1b48200, size=7, name=Tamra
address=0x1b481f7, size=9, name=Tamqrah
address=0x1b481f0, size=7, name=Tammy
address=0x1b481e8, size=8, name=Tammie
address=0x1b481e1, size=7, name=Tammi
address=0x1b481d8, size=9, name=Tammara
address=0x1b481d1, size=7, name=Tamma
address=0x1b481c9, size=8, name=Tamiko
address=0x1b243ee, size=6, name=Tami
address=0x1b481c1, size=8, name=Tamera
address=0x1b481b8, size=9, name=Tamarra
address=0x1b481af, size=9, name=Tamarah
address=0x1b481a7, size=8, name=Tamara
address=0x1b481a0, size=7, name=Tamar
address=0x1b48198, size=8, name=Talyah
address=0x1b48191, size=7, name=Talya
address=0x1b4818a, size=7, name=Tally
address=0x1b48180, size=10, name=Tallulah
address=0x1b48178, size=8, name=Tallou
address=0x1b48170, size=8, name=Tallie
address=0x1b48168, size=8, name=Tallia
address=0x1b48161, size=7, name=Talia
address=0x1b4815a, size=7, name=Taffy
address=0x1b48151, size=9, name=Tabitha
address=0x1b48149, size=8, name=Tabina
address=0x1b48142, size=7, name=Tabby
address=0x1b48138, size=10, name=Tabbitha
address=0x1b48130, size=8, name=Tabbie
address=0x1b48129, size=7, name=Tabbi
address=0x1b4811f, size=10, name=Tabbatha
address=0x1b48116, size=9, name=Tabatha
address=0x1b4810e, size=8, name=Sylvia
address=0x1b48106, size=8, name=Sydney
address=0x1b480fd, size=9, name=Sydelle
address=0x1b480f6, size=7, name=Sydel
address=0x1b480ef, size=7, name=Sybyl
address=0x1b480e6, size=9, name=Sybille
address=0x1b480dd, size=9, name=Sybilla
address=0x1b480d5, size=8, name=Sybila
address=0x1b480ce, size=7, name=Sybil
address=0x1b006f1, size=6, name=Suzy
address=0x1b480c7, size=7, name=Suzie
address=0x1b0025a, size=6, name=Suzi
address=0x1b480be, size=9, name=Suzette
address=0x1b480b5, size=9, name=Suzanne
address=0x1b480ac, size=9, name=Suzanna
address=0x1b480a4, size=8, name=Suzann
address=0x1b0210c, size=6, name=Susy
address=0x1b4809d, size=7, name=Susie
address=0x1b47a58, size=6, name=Susi
address=0x1b48094, size=9, name=Susette
address=0x1b4808b, size=9, name=Susanne
address=0x1b48081, size=10, name=Susannah
address=0x1b48078, size=9, name=Susanna
address=0x1b48070, size=8, name=Susann
address=0x1b48065, size=11, name=Susanetta
address=0x1b4805d, size=8, name=Susana
address=0x1b48056, size=7, name=Susan
address=0x1b4804c, size=10, name=Sunshine
address=0x1b48045, size=7, name=Sunny
address=0x1b00edf, size=6, name=Sula
address=0x1b017c0, size=6, name=Suki
address=0x1b4803e, size=7, name=Sukey
address=0x1b48035, size=9, name=Suellen
address=0x1b24484, size=5, name=Sue
address=0x1b4802d, size=8, name=Stormy
address=0x1b48024, size=9, name=Stormie
address=0x1b4801c, size=8, name=Stormi
address=0x1b48015, size=7, name=Storm
address=0x1b4800b, size=10, name=Stoddard
address=0x1b48002, size=9, name=Stevena
address=0x1b47ff9, size=9, name=Stevana
address=0x1b47ff1, size=8, name=Stesha
address=0x1b47fe7, size=10, name=Stephine
address=0x1b00e3a, size=9, name=Stephie
address=0x1b0034c, size=8, name=Stephi
address=0x1b47fdc, size=11, name=Stephenie
address=0x1b47fd0, size=12, name=Stephannie
address=0x1b01e97, size=11, name=Stephanie
address=0x1b00fd4, size=10, name=Stephani
address=0x1b002d0, size=10, name=Stephana
address=0x1b00370, size=8, name=Stepha
address=0x1b0104c, size=8, name=Stella
address=0x1b005c2, size=9, name=Steffie
address=0x1b01b6b, size=8, name=Steffi
address=0x1b01b61, size=10, name=Steffane
address=0x1b24362, size=10, name=Stefanie
address=0x1b245f9, size=10, name=Stefania
address=0x1b2447d, size=7, name=Stefa
address=0x1b24312, size=7, name=Starr
address=0x1b0279e, size=9, name=Starlin
address=0x1b00d8a, size=10, name=Starlene
address=0x1b02763, size=8, name=Starla
address=0x1b00875, size=6, name=Star
address=0x1b01031, size=9, name=Stafani
address=0x1b0102a, size=7, name=Stacy
address=0x1b02788, size=8, name=Stacie
address=0x1b00bc9, size=8, name=Stacia
address=0x1b241f0, size=7, name=Staci
address=0x1b0019d, size=8, name=Stacey
address=0x1b016e7, size=8, name=Stacee
address=0x1b023bf, size=7, name=Stace
address=0x1b018a6, size=9, name=Sosanna
address=0x1b02750, size=8, name=Sorcha
address=0x1b250ba, size=11, name=Sophronia
address=0x1b24f66, size=8, name=Sophie
address=0x1b24eb9, size=8, name=Sophia
address=0x1b25297, size=7, name=Sophi
address=0x1b24f50, size=8, name=Sophey
address=0x1b021a2, size=7, name=Sonya
address=0x1b2500b, size=7, name=Sonny
address=0x1b24dec, size=9, name=Sonnnie
address=0x1b002b4, size=8, name=Sonnie
address=0x1b24b18, size=7, name=Sonni
address=0x1b021dd, size=7, name=Sonja
address=0x1b470eb, size=7, name=Sonia
address=0x1b00180, size=8, name=Sondra
address=0x1b255ea, size=7, name=Sofie
address=0x1b25629, size=7, name=Sofia
address=0x1b24858, size=8, name=Siusan
address=0x1b01cc2, size=7, name=Sissy
address=0x1b009fa, size=8, name=Sissie
address=0x1b0086d, size=8, name=Sisile
address=0x1b245bf, size=8, name=Sisely
address=0x1b02728, size=9, name=Siouxie
address=0x1b24d83, size=7, name=Sioux
address=0x1b24446, size=9, name=Siobhan
address=0x1b011e9, size=8, name=Sindee
address=0x1b0289a, size=9, name=Simonne
address=0x1b01a79, size=11, name=Simonette
address=0x1b017b8, size=8, name=Simone
address=0x1b008cd, size=8, name=Simona
address=0x1b24d7b, size=8, name=Silvie
address=0x1b0057e, size=8, name=Silvia
address=0x1b4766f, size=9, name=Silvana
address=0x1b00c18, size=7, name=Silva
address=0x1b24140, size=8, name=Sileas
address=0x1b47d3c, size=6, name=Sile
address=0x1b47ac6, size=8, name=Sigrid
address=0x1b47b92, size=10, name=Sidonnie
address=0x1b47d33, size=9, name=Sidonia
address=0x1b0221e, size=9, name=Sidoney
address=0x1b00e2a, size=9, name=Sibylle
address=0x1b47f4b, size=9, name=Sibylla
address=0x1b475fc, size=7, name=Sibyl
address=0x1b252e2, size=8, name=Sibley
address=0x1b24096, size=9, name=Sibilla
address=0x1b00835, size=9, name=Sibelle
address=0x1b2450a, size=9, name=Sibella
address=0x1b02912, size=7, name=Sibel
address=0x1b256c1, size=8, name=Sibeal
address=0x1b256d1, size=7, name=Sibby
address=0x1b003e4, size=8, name=Sibbie
address=0x1b479f1, size=5, name=Sib
address=0x1b2520f, size=8, name=Sianna
address=0x1b00853, size=7, name=Siana
address=0x1b00848, size=11, name=Shoshanna
address=0x1b01076, size=10, name=Shoshana
address=0x1b24fb5, size=10, name=Shirline
address=0x1b24d92, size=9, name=Shirley
address=0x1b01a48, size=10, name=Shirlene
address=0x1b479e7, size=10, name=Shirleen
address=0x1b019f2, size=9, name=Shirlee
address=0x1b476e7, size=7, name=Shirl
address=0x1b00d6b, size=6, name=Shir
address=0x1b47961, size=7, name=Shina
address=0x1b029d6, size=8, name=Sheryl
address=0x1b02511, size=8, name=Sherye
address=0x1b02a37, size=8, name=Sherry
address=0x1b47d8a, size=9, name=Sherrie
address=0x1b01b90, size=8, name=Sherri
address=0x1b2488c, size=10, name=Sherline
address=0x1b01b86, size=10, name=Sherilyn
address=0x1b005f3, size=9, name=Sherill
address=0x1b47593, size=8, name=Sherie
address=0x1b47c85, size=7, name=Sheri
address=0x1b47c7d, size=8, name=Sheree
address=0x1b25497, size=6, name=Sher
address=0x1b47300, size=7, name=Shena
address=0x1b472bb, size=8, name=Shelly
address=0x1b0125e, size=9, name=Shellie
address=0x1b018e1, size=8, name=Shelli
address=0x1b4712a, size=9, name=Shelley
address=0x1b47a8f, size=7, name=Shell
address=0x1b24c85, size=8, name=Shelia
address=0x1b00eec, size=8, name=Shelby
address=0x1b027c8, size=8, name=Shelbi
address=0x1b01767, size=8, name=Shelba
address=0x1b47f15, size=9, name=Shelagh
address=0x1b476c2, size=7, name=Shela
address=0x1b00161, size=6, name=Shel
address=0x1b02699, size=9, name=Sheilah
address=0x1b24ba3, size=16, name=Sheila-Kathryn
address=0x1b01f8c, size=8, name=Sheila
address=0x1b01f83, size=9, name=Sheeree
address=0x1b254bb, size=8, name=Sheena
address=0x1b47683, size=9, name=Sheelah
address=0x1b01c83, size=10, name=Sheelagh
address=0x1b019cc, size=8, name=Sheela
address=0x1b01292, size=7, name=Sheba
address=0x1b252cc, size=6, name=Shea
address=0x1b013c5, size=8, name=Shayne
address=0x1b24118, size=8, name=Shayna
address=0x1b014f7, size=10, name=Shaylynn
address=0x1b017d7, size=9, name=Shaylyn
address=0x1b00210, size=9, name=Shaylah
address=0x1b00cf5, size=8, name=Shayla
address=0x1b47ae0, size=6, name=Shay
address=0x1b243be, size=9, name=Shawnee
address=0x1b479d7, size=8, name=Shawna
address=0x1b0258f, size=7, name=Shawn
address=0x1b013e5, size=8, name=Shauna
address=0x1b010d1, size=7, name=Shaun
address=0x1b02204, size=8, name=Sharyl
address=0x1b021fb, size=9, name=Sharron
address=0x1b02011, size=9, name=Sharona
address=0x1b24b08, size=8, name=Sharon
address=0x1b24275, size=10, name=Sharline
address=0x1b026da, size=10, name=Sharlene
address=0x1b47ad6, size=10, name=Sharleen
address=0x1b01993, size=8, name=Sharla
address=0x1b24813, size=7, name=Sharl
address=0x1b250a8, size=9, name=Sharity
address=0x1b00c46, size=8, name=Sharia
address=0x1b477ba, size=7, name=Shari
address=0x1b01b0a, size=8, name=Sharai
address=0x1b00365, size=7, name=Shara
address=0x1b0035c, size=9, name=Shantee
address=0x1b0256b, size=8, name=Shanta
address=0x1b2530b, size=8, name=Shanon
address=0x1b24c18, size=9, name=Shannon
address=0x1b25302, size=9, name=Shannen
address=0x1b02562, size=9, name=Shannah
address=0x1b00e65, size=8, name=Shanna
address=0x1b477b2, size=8, name=Shanie
address=0x1b02160, size=7, name=Shani
address=0x1b24c41, size=7, name=Shane
