-- Total Memory Allocated --
Total: 24915
-- allocMBList (2945) --
address=0xe679e3, size=7, name=Shena
address=0xe44369, size=8, name=Shelly
address=0xe68156, size=9, name=Shellie
address=0xe442db, size=8, name=Shelli
address=0xe6814d, size=9, name=Shelley
address=0xe20818, size=7, name=Shell
address=0xe22104, size=8, name=Shelia
address=0xe21463, size=8, name=Shelby
address=0xe4567d, size=8, name=Shelbi
address=0xe219e5, size=8, name=Shelba
address=0xe68144, size=9, name=Shelagh
address=0xe44515, size=7, name=Shela
address=0xe674be, size=6, name=Shel
address=0xe6813b, size=9, name=Sheilah
address=0xe6812b, size=16, name=Sheila-Kathryn
address=0xe67724, size=8, name=Sheila
address=0xe68122, size=9, name=Sheeree
address=0xe67ba5, size=8, name=Sheena
address=0xe68119, size=9, name=Sheelah
address=0xe6810f, size=10, name=Sheelagh
address=0xe207e7, size=8, name=Sheela
address=0xe20a7a, size=7, name=Sheba
address=0xe44179, size=6, name=Shea
address=0xe67bfb, size=8, name=Shayne
address=0xe4469a, size=8, name=Shayna
address=0xe68105, size=10, name=Shaylynn
address=0xe680fc, size=9, name=Shaylyn
address=0xe680f3, size=9, name=Shaylah
address=0xe204f4, size=8, name=Shayla
address=0xe6753d, size=6, name=Shay
address=0xe680ea, size=9, name=Shawnee
address=0xe21027, size=8, name=Shawna
address=0xe20ce0, size=7, name=Shawn
address=0xe22617, size=8, name=Shauna
address=0xe21796, size=7, name=Shaun
address=0xe218e6, size=8, name=Sharyl
address=0xe2104c, size=9, name=Sharron
address=0xe21864, size=9, name=Sharona
address=0xe2091c, size=8, name=Sharon
address=0xe680e0, size=10, name=Sharline
address=0xe680d6, size=10, name=Sharlene
address=0xe680cc, size=10, name=Sharleen
address=0xe44645, size=8, name=Sharla
address=0xe44eab, size=7, name=Sharl
address=0xe21f02, size=9, name=Sharity
address=0xe20a56, size=8, name=Sharia
address=0xe208bb, size=7, name=Shari
address=0xe2057d, size=8, name=Sharai
address=0xe20317, size=7, name=Shara
address=0xe45768, size=9, name=Shantee
address=0xe4534c, size=8, name=Shanta
address=0xe227c2, size=8, name=Shanon
address=0xe44c88, size=9, name=Shannon
address=0xe20a47, size=9, name=Shannen
address=0xe44d8a, size=9, name=Shannah
address=0xe21f25, size=8, name=Shanna
address=0xe22809, size=8, name=Shanie
address=0xe67295, size=7, name=Shani
address=0xe21d14, size=7, name=Shane
address=0xe6756c, size=8, name=Shandy
address=0xe20e09, size=9, name=Shandra
address=0xe4502e, size=9, name=Shandie
address=0xe680c1, size=11, name=Shandeigh
address=0xe45287, size=9, name=Shandee
address=0xe44a4d, size=8, name=Shanda
address=0xe675ac, size=7, name=Shana
address=0xe67ce5, size=8, name=Shalne
address=0xe67c4b, size=8, name=Shalna
address=0xe20bcd, size=8, name=Shaine
address=0xe67317, size=8, name=Shaina
address=0xe67bd1, size=6, name=Shae
address=0xe2075d, size=8, name=Serene
address=0xe44fdb, size=8, name=Serena
address=0xe217e0, size=9, name=Sephira
address=0xe6758e, size=6, name=Sena
address=0xe672dc, size=7, name=Selma
address=0xe44072, size=7, name=Selle
address=0xe44000, size=7, name=Sella
address=0xe4515d, size=8, name=Seline
address=0xe44adc, size=9, name=Selinda
address=0xe44bbf, size=8, name=Selina
address=0xe67240, size=7, name=Selie
address=0xe44d32, size=7, name=Selia
address=0xe680b6, size=11, name=Selestina
address=0xe67181, size=8, name=Selene
address=0xe21211, size=8, name=Selena
address=0xe2054d, size=6, name=Sela
address=0xe20a1a, size=6, name=Seka
address=0xe67254, size=7, name=Seana
address=0xe4501d, size=6, name=Sean
address=0xe680ac, size=10, name=Scarlett
address=0xe673d5, size=9, name=Scarlet
address=0xe44db1, size=7, name=Sayre
address=0xe20a0a, size=8, name=Savina
address=0xe22300, size=9, name=Saundra
address=0xe2229a, size=8, name=Saudra
address=0xe680a2, size=10, name=Sashenka
address=0xe45735, size=7, name=Sasha
address=0xe67c2c, size=8, name=Sascha
address=0xe44ef5, size=8, name=Sarita
address=0xe214ff, size=8, name=Sarine
address=0xe456a7, size=8, name=Sarina
address=0xe6757d, size=6, name=Sari
address=0xe453a6, size=9, name=Sarette
address=0xe44c76, size=8, name=Sarene
address=0xe67115, size=8, name=Sarena
address=0xe67dfe, size=7, name=Saree
address=0xe68098, size=10, name=Sarajane
address=0xe20dc8, size=7, name=Sarah
address=0xe20d1f, size=9, name=Saraann
address=0xe6808e, size=10, name=Sara-Ann
address=0xe200e5, size=6, name=Sara
address=0xe68084, size=10, name=Sapphire
address=0xe6807a, size=10, name=Sapphira
address=0xe2066b, size=8, name=Sandye
address=0xe4566d, size=7, name=Sandy
address=0xe44aa5, size=8, name=Sandra
address=0xe671fe, size=8, name=Sandie
address=0xe202ef, size=7, name=Sandi
address=0xe44f0e, size=7, name=Sande
address=0xe2133a, size=7, name=Sammy
address=0xe2034c, size=9, name=Samaria
address=0xe228ca, size=8, name=Samara
address=0xe68070, size=10, name=Samantha
address=0xe22550, size=5, name=Sam
